"Data";"Meta Selic";"Taxa média de juros das operações de crédito com recursos livres - Total - % a.a."
mar 2011;11,75;37,92
abr 2011;12;38,71
mai 2011;12;38,4
jun 2011;12,25;38,28
jul 2011;12,5;38,67
ago 2011;12,5;37,7
set 2011;12;37,99
out 2011;11,5;38,39
nov 2011;11,5;37,56
dez 2011;11;35,54
jan 2012;10,5;36,8
fev 2012;10,5;37,22
mar 2012;9,75;36,71
abr 2012;9;35,68
mai 2012;8,5;33,5
jun 2012;8,5;32,6
jul 2012;8;31,97
ago 2012;7,5;31,36
set 2012;7,5;31,16
out 2012;7,25;30,46
nov 2012;7,25;30,3
dez 2012;7,25;28,89
jan 2013;7,25;29,64
fev 2013;7,25;30,35
mar 2013;7,25;29,89
abr 2013;7,5;30
mai 2013;8;29,74
jun 2013;8;30,2
jul 2013;8,5;30,98
ago 2013;9;31,49
set 2013;9;31,76
out 2013;9,5;32,37
nov 2013;10;32,84
dez 2013;10;32,37
jan 2014;10,5;34
fev 2014;10,75;35,3
mar 2014;10,75;35,45
abr 2014;11;35,32
mai 2014;11;35,58
jun 2014;11;35,79
jul 2014;11;36,06
ago 2014;11;36,16
set 2014;11;35,63
out 2014;11,25;36,85
nov 2014;11,25;37,13
dez 2014;11,75;36,41
jan 2015;12,25;38,32
fev 2015;12,25;39,77
mar 2015;12,75;39,94
abr 2015;13,25;40,91
mai 2015;13,25;41,79
jun 2015;13,75;42,6
jul 2015;14,25;43,54
ago 2015;14,25;44,5
set 2015;14,25;45,56
out 2015;14,25;46,83
nov 2015;14,25;47,42
dez 2015;14,25;46,3
jan 2016;14,25;48,78
fev 2016;14,25;49,88
mar 2016;14,25;50,07
abr 2016;14,25;51,21
mai 2016;14,25;51,12
jun 2016;14,25;50,93
jul 2016;14,25;51,6
ago 2016;14,25;52,1
set 2016;14,25;52,43
out 2016;14;53,06
nov 2016;14;52,95
dez 2016;13,75;50,99
jan 2017;13;52
fev 2017;12,25;52,2
mar 2017;12,25;51,23
abr 2017;11,25;48,11
mai 2017;11,25;46,48
jun 2017;10,25;45,36
jul 2017;9,25;45,67
ago 2017;9,25;44,65
set 2017;8,25;42,36
out 2017;7,5;42,65
nov 2017;7,5;41,83
dez 2017;7;39,49
jan 2018;7;40,39
fev 2018;6,75;41,32
mar 2018;6,5;40,65
abr 2018;6,5;40,09
mai 2018;6,5;38,44
jun 2018;6,5;37,91
jul 2018;6,5;37,48
ago 2018;6,5;37,28
set 2018;6,5;37,35
out 2018;6,5;37,48
nov 2018;6,5;37,32
dez 2018;6,5;35,02
jan 2019;6,5;37,14
fev 2019;6,5;37,92
mar 2019;6,5;38,34
abr 2019;6,5;38,34
mai 2019;6,5;37,9
jun 2019;6,5;37,65
jul 2019;6,5;37,41
ago 2019;6;37,23
set 2019;5,5;36,07
out 2019;5;35,25
nov 2019;5;35,55
dez 2019;4,5;33,35
jan 2020;4,5;33,69
fev 2020;4,25;34,12
mar 2020;3,75;33,32
abr 2020;3,75;31,29
mai 2020;3;29,92
jun 2020;2,25;28,16
jul 2020;2,25;27,31
ago 2020;2;26,59
set 2020;2;25,78
out 2020;2;26,45
nov 2020;2;26,35
dez 2020;2;25,54
jan 2021;2;28,47
fev 2021;2;28,11
mar 2021;2,75;28,44
abr 2021;2,75;29,18
mai 2021;3,5;28,46
jun 2021;4,25;28,39
jul 2021;4,25;28,87
ago 2021;5,25;29,85
set 2021;6,25;NA
out 2021;6,25;NA
