"Data";"7806 - Taxa referencial de swaps DI pré-fixada (BM&F) - Prazo de 360 dias - % a.a.";"1 - Taxa de câmbio - Livre - Dólar americano (venda) - diário - u.m.c./US$";"7 - Bovespa - índice - Pontos";"SP500"
2000-05-22;22,19;1,8468;13891;NA
2000-05-23;22,49;1,8537;13587;NA
2000-05-24;21,96;1,8537;14166;NA
2000-05-25;21,95;1,8392;14185;NA
2000-05-26;21,81;1,8455;14542;NA
2000-05-29;21,71;1,8388;14772;NA
2000-05-30;21,47;1,8305;15248;NA
2000-05-31;21,31;1,8266;14956;NA
2000-06-01;20,8;1,8202;15450;NA
2000-06-02;20,33;1,8104;16222;NA
2000-06-05;20,25;1,7933;16022;NA
2000-06-06;20,24;1,7899;15946;NA
2000-06-07;20,15;1,8036;16271;NA
2000-06-08;20,25;1,7948;16398;NA
2000-06-09;20;1,7999;16342;NA
2000-06-12;20,15;1,804;16096;NA
2000-06-13;19,98;1,81;16354;NA
2000-06-14;19,87;1,8107;16366;NA
2000-06-15;19,67;1,8079;16561;NA
2000-06-16;19,59;1,8073;16424;NA
2000-06-19;19,49;1,803;16850;NA
2000-06-20;19,4;1,7991;16843;NA
2000-06-21;18,47;1,8121;17254;NA
2000-06-23;18,89;1,8203;16977;NA
2000-06-26;18,85;1,8282;16744;NA
2000-06-27;18,79;1,8235;16512;NA
2000-06-28;18,78;1,8195;16842;NA
2000-06-29;18,74;1,8172;16407;NA
2000-06-30;18,86;1,8;16727;NA
2000-07-03;18,65;1,808;17088;NA
2000-07-04;18,63;1,8121;17279;NA
2000-07-05;18,46;1,8047;17134;NA
2000-07-06;18,31;1,797;17348;NA
2000-07-07;18,34;1,7972;17598;NA
2000-07-10;18,27;1,8006;17471;NA
2000-07-11;18,53;1,7972;16880;NA
2000-07-12;18,59;1,8034;17053;NA
2000-07-13;18,9;1,8104;16444;NA
2000-07-14;18,7;1,8106;16880;NA
2000-07-17;18,29;1,7979;17387;NA
2000-07-18;18,47;1,797;17368;NA
2000-07-19;18,52;1,8044;16927;NA
2000-07-20;18,24;1,8015;17203;NA
2000-07-21;18,08;1,7921;17318;NA
2000-07-24;17,95;1,7956;17385;NA
2000-07-25;17,72;1,7898;17049;NA
2000-07-26;17,68;1,7925;17121;NA
2000-07-27;17,75;1,7847;16948;NA
2000-07-28;17,77;1,7828;16485;NA
2000-07-31;17,85;1,7748;16454;NA
2000-08-01;17,87;1,788;16289;NA
2000-08-02;17,77;1,7916;16314;NA
2000-08-03;17,49;1,8079;16720;NA
2000-08-04;17,45;1,7919;16761;NA
2000-08-07;17,43;1,7961;16995;NA
2000-08-08;17,34;1,7992;16884;NA
2000-08-09;17,26;1,795;16533;NA
2000-08-10;17,08;1,7962;16834;NA
2000-08-11;16,87;1,7959;17395;NA
2000-08-14;16,73;1,8021;17810;NA
2000-08-15;16,9;1,8056;17744;NA
2000-08-16;17,18;1,807;17330;NA
2000-08-17;16,93;1,8096;17702;NA
2000-08-18;17,17;1,8174;17313;NA
2000-08-21;17,18;1,8199;17083;NA
2000-08-22;16,87;1,8169;17224;NA
2000-08-23;17;1,8186;17450;NA
2000-08-24;16,99;1,8204;17310;NA
2000-08-25;17,05;1,8213;17642;NA
2000-08-28;17,18;1,8277;17460;NA
2000-08-29;17,04;1,8349;17354;NA
2000-08-30;17,04;1,8259;17414;NA
2000-08-31;17,06;1,8234;17346;NA
2000-09-01;17,03;1,8218;17346;NA
2000-09-04;17,06;1,8255;17613;NA
2000-09-05;17;1,8294;17424;NA
2000-09-06;16,89;1,8207;17589;NA
2000-09-08;16,82;1,8224;17433;NA
2000-09-11;16,86;1,8199;17287;NA
2000-09-12;16,98;1,8279;16882;NA
2000-09-13;16,94;1,832;16998;NA
2000-09-14;17,06;1,8317;16768;NA
2000-09-15;17,18;1,8438;16563;NA
2000-09-18;17,47;1,8558;15913;NA
2000-09-19;17,34;1,8538;16188;NA
2000-09-20;17,32;1,8546;16077;NA
2000-09-21;17,28;1,8517;16146;NA
2000-09-22;17,17;1,8594;16353;NA
2000-09-25;17,12;1,842;16318;NA
2000-09-26;17,1;1,8506;16254;NA
2000-09-27;17,08;1,8492;15848;NA
2000-09-28;16,92;1,8479;16013;NA
2000-09-29;16,94;1,8437;15928;NA
2000-10-02;17,06;1,8483;15559;NA
2000-10-03;17,05;1,8498;15633;NA
2000-10-04;16,97;1,8529;15876;NA
2000-10-05;16,87;1,8501;16362;NA
2000-10-06;17,02;1,852;15945;NA
2000-10-09;16,94;1,8574;15855;NA
2000-10-10;16,99;1,8541;15747;NA
2000-10-11;17,01;1,8603;15526;NA
2000-10-13;17,2;1,8764;15385;NA
2000-10-16;17,11;1,8704;15241;NA
2000-10-17;17,28;1,8667;14870;NA
2000-10-18;17,24;1,8795;14420;NA
2000-10-19;17,27;1,8714;14845;NA
2000-10-20;17,46;1,8796;14529;NA
2000-10-23;17,58;1,8918;13989;NA
2000-10-24;17,77;1,8981;13804;NA
2000-10-25;18,12;1,9282;13665;NA
2000-10-26;18,27;1,934;14223;NA
2000-10-27;17,84;1,924;14691;NA
2000-10-30;17,73;1,9184;14891;NA
2000-10-31;17,61;1,909;14867;NA
2000-11-01;17,84;1,9099;14791;NA
2000-11-03;18,4;1,9286;14533;NA
2000-11-06;18,16;1,9462;14800;NA
2000-11-07;18,46;1,9573;14968;NA
2000-11-08;18,83;1,9503;14656;NA
2000-11-09;18,97;1,9683;14524;NA
2000-11-10;18,48;1,9566;14625;NA
2000-11-13;18,21;1,9579;14371;NA
2000-11-14;18,09;1,9441;14540;NA
2000-11-16;17,9;1,9486;14489;NA
2000-11-17;17,91;1,9609;14323;NA
2000-11-20;17,55;1,9365;14521;NA
2000-11-21;17,56;1,91;14783;NA
2000-11-22;17,59;1,9322;14576;NA
2000-11-23;18,15;1,9413;14314;NA
2000-11-24;17,95;1,956;14335;NA
2000-11-27;18,23;1,9571;14008;NA
2000-11-28;18,14;1,9778;13913;NA
2000-11-29;17,99;1,961;13787;NA
2000-11-30;18,39;1,9596;13287;NA
2000-12-01;18,26;1,9795;13441;NA
