"Data";"Desvio Padrão 2021 Q2";"Desvio Padrão 2021 Q3";"Desvio Padrão 2021 Q4";"Desvio Padrão 2022 Q1";"Desvio Padrão 2022 Q2";"Desvio Padrão 2022 Q3";"Desvio Padrão 2022 Q4";"Desvio Padrão 2023 Q1";"Desvio Padrão 2023 Q2";"Media 2021 Q2";"Media 2021 Q3";"Media 2021 Q4";"Media 2022 Q1";"Media 2022 Q2";"Media 2022 Q3";"Media 2022 Q4";"Media 2023 Q1";"Media 2023 Q2"
2021-08-31;0,468;0,9225;0,8018;0,3837;NA;NA;NA;NA;NA;12,7733;4,9804;2,8536;2,0506;NA;NA;NA;NA;NA
2021-09-01;NA;0,7459;0,6759;0,5939;0,6957;0,5261;0,793;0,6011;0,11;NA;4,9862;2,7527;2,0502;2,0315;1,904;1,76;2,2411;2,11
2021-09-02;NA;0,7471;0,681;0,6005;0,7377;0,5233;0,7915;0,5905;0,0909;NA;4,9811;2,7438;2,0412;1,9864;1,8806;1,7465;2,2358;2,1
2021-09-03;NA;0,7297;0,6854;0,5728;0,7104;0,535;0,8087;0,7045;0,4627;NA;4,9448;2,7729;2,0028;1,9461;1,8463;1,6724;2,1465;1,929
2021-09-06;NA;0,7309;0,6864;0,5718;0,7115;0,5162;0,7894;0,7045;0,4627;NA;4,9208;2,7633;1,9993;1,921;1,8139;1,6328;2,1465;1,929
2021-09-08;NA;0,7156;0,6809;0,566;0,7041;0,5108;0,795;0,7045;0,4627;NA;4,8958;2,7479;1,9973;1,9206;1,8136;1,6113;2,1465;1,929
2021-09-09;NA;0,7134;0,6908;0,5675;0,702;0,5103;0,7992;0,7242;0,4621;NA;4,8873;2,7325;2,0014;1,9144;1,8074;1,5946;2,1223;1,8855
2021-09-10;NA;0,7108;0,6787;0,5508;0,6707;0,4853;0,8114;0,7155;0,4176;NA;4,846;2,7204;1,9571;1,8834;1,7786;1,5611;2,0918;1,8957
2021-09-13;NA;0,544;0,6754;0,5412;0,6498;0,4736;0,8104;0,7069;0,4149;NA;4,8928;2,7062;1,9152;1,8432;1,7928;1,6048;2,1413;1,9502
2021-09-14;NA;0,5379;0,6787;0,5663;0,6613;0,4847;0,8087;0,6955;0,4111;NA;4,889;2,6885;1,9253;1,8485;1,7888;1,6005;2,1366;1,9696
2021-09-15;NA;0,538;0,6856;0,566;0,6564;0,49;0,8013;0,6847;0,4071;NA;4,8752;2,6746;1,9013;1,821;1,7872;1,5991;2,1315;2,0016
2021-09-16;NA;0,5374;0,68;0,5652;0,6694;0,5331;0,8153;0,6795;0,4018;NA;4,8832;2,6697;1,8703;1,7768;1,7225;1,5384;2,0962;2,0242
