"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2021-08-26;0,3471;0,4155;0,3534;0,3848;0,3865;5,1954;2,0003;2,3513;2,4248;2,4498
2021-08-27;0,3497;0,4174;0,3486;0,3793;0,3802;5,1945;2,0001;2,355;2,4288;2,4542
2021-08-30;0,3544;0,4058;0,3379;0,366;0,3894;5,2043;1,977;2,3791;2,4645;2,473
2021-08-31;0,3563;0,3931;0,3387;0,3683;0,3914;5,2061;1,9656;2,3712;2,4542;2,4617
2021-09-01;0,3241;0,3988;0,3393;0,3702;0,3931;5,132;1,9373;2,3636;2,4443;2,451
2021-09-02;0,3248;0,4019;0,3397;0,3663;0,3639;5,1289;1,9172;2,3677;2,4226;2,4161
2021-09-03;0,3198;0,4044;0,3482;0,373;0,3705;5,1225;1,869;2,333;2,3865;2,3781
2021-09-06;0,3175;0,4113;0,3508;0,3765;0,3741;5,1119;1,8354;2,3297;2,3841;2,3754
2021-09-08;0,3141;0,4099;0,3508;0,3765;0,3741;5,1047;1,8314;2,3297;2,3841;2,3754
2021-09-09;0,3109;0,4053;0,3529;0,38;0,3776;5,0913;1,812;2,3199;2,3737;2,3643
2021-09-10;0,3055;0,3825;0,3503;0,3753;0,3715;5,07;1,7752;2,3234;2,3906;2,3803
2021-09-13;0,271;0,4008;0,3577;0,3734;0,3681;5,083;1,7553;2,3356;2,4051;2,393
2021-09-14;0,2708;0,4128;0,3544;0,3706;0,3668;5,079;1,7541;2,3369;2,4091;2,3998
2021-09-15;0,2728;0,4279;0,3512;0,3675;0,3635;5,0739;1,7341;2,3352;2,4059;2,3966
2021-09-16;0,2714;0,439;0,3512;0,3675;0,3635;5,0767;1,7045;2,3352;2,4059;2,3966
2021-09-17;0,253;0,4339;0,3982;0,4046;0,4039;5,0594;1,6506;2,2801;2,3715;2,3648
2021-09-20;0,2349;0,4436;0,4154;0,4153;0,4071;5,0442;1,6441;2,2623;2,3638;2,3349
2021-09-21;0,2349;0,4436;0,4154;0,4153;0,4071;5,0442;1,6441;2,2623;2,3638;2,3349
2021-09-22;0,2365;0,4416;0,4269;0,4323;0,4242;5,0408;1,641;2,2448;2,3429;2,3134
2021-09-23;0,2287;0,4363;0,4208;0,4323;0,4244;5,0482;1,6148;2,2394;2,3429;2,3155
2021-09-24;0,232;0,436;0,4337;0,4363;0,4244;5,0482;1,5936;2,2214;2,3521;2,3155
2021-09-27;0,2336;0,4338;0,4337;0,4363;0,4244;5,0458;1,5899;2,2214;2,3521;2,3155
2021-09-28;0,2336;0,4338;0,4337;0,4363;0,4244;5,0458;1,5899;2,2214;2,3521;2,3155
2021-09-29;0,2336;0,4338;0,4337;0,4363;0,4244;5,0458;1,5899;2,2214;2,3521;2,3155
2021-09-30;0,2336;0,4338;0,4337;0,4363;0,4244;5,0458;1,5899;2,2214;2,3521;2,3155
2021-10-01;0,2317;0,433;0,4424;0,4363;0,4244;5,0499;1,5824;2,1978;2,3521;2,3155
2021-10-04;0,2386;0,4247;0,445;0,4368;0,425;5,0507;1,5574;2,1992;2,361;2,3195
2021-10-05;0,238;0,4222;0,445;0,4368;0,425;5,0482;1,5592;2,1992;2,361;2,3195
2021-10-06;0,2367;0,4223;0,445;0,4368;0,425;5,0453;1,5501;2,1992;2,361;2,3195
2021-10-07;0,2367;0,4223;0,445;0,4368;0,425;5,0446;1,5501;2,1992;2,361;2,3195
2021-10-08;0,2365;0,4094;0,4354;0,4323;0,4188;5,0391;1,5476;2,1887;2,3402;2,2999
2021-10-11;0,2369;0,4012;0,4223;0,4229;0,4156;5,034;1,5239;2,1712;2,3305;2,3039
2021-10-13;0,2376;0,4033;0,4223;0,4229;0,4156;5,0243;1,513;2,1712;2,3305;2,3039
2021-10-14;0,2353;0,3908;0,4146;0,4323;0,4162;5,0227;1,5158;2,1581;2,3459;2,3099
2021-10-15;0,2338;0,4043;0,411;0,4287;0,4124;5,0222;1,4882;2,1571;2,3432;2,3078
