"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-08-26;0,5497;0,8544;0,4714;0,4118;0,4285;0,5279;0,6141;0,8157;0,9601;1,0127;-1,8154;-1,1352;-0,7118;-0,2429;0,1893;0,5962;0,9731;1,2923;1,5231;1,6538
2021-08-27;0,5835;0,8534;0,4714;0,4118;0,4285;0,5279;0,6141;0,8157;0,9601;1,0127;-1,7882;-1,1398;-0,7118;-0,2429;0,1893;0,5962;0,9731;1,2923;1,5231;1,6538
2021-08-30;0,627;0,625;0,4485;0,3852;0,3786;0,4592;0,5753;0,804;0,9552;0,9962;-1,7491;-1,3081;-0,7867;-0,2923;0,1269;0,5125;0,8958;1,2167;1,4417;1,5583
2021-08-31;0,627;0,625;0,4485;0,3852;0,3786;0,4592;0,5753;0,804;0,9552;0,9962;-1,7491;-1,3081;-0,7867;-0,2923;0,1269;0,5125;0,8958;1,2167;1,4417;1,5583
2021-09-01;0,627;0,625;0,4485;0,3852;0,3786;0,4592;0,5753;0,804;0,9552;0,9962;-1,7491;-1,3081;-0,7867;-0,2923;0,1269;0,5125;0,8958;1,2167;1,4417;1,5583
2021-09-02;0,627;0,625;0,4485;0,3852;0,3786;0,4592;0,5753;0,804;0,9552;0,9962;-1,7491;-1,3081;-0,7867;-0,2923;0,1269;0,5125;0,8958;1,2167;1,4417;1,5583
2021-09-03;0,5997;0,6185;0,4544;0,4011;0,3859;0,4553;0,577;0,814;0,9733;1,0248;-1,7356;-1,321;-0,8235;-0,3333;0,0767;0,4464;0,8107;1,0857;1,2786;1,3786
2021-09-06;0,5985;0,6061;0,4435;0,4011;0,3859;0,4553;0,577;0,814;0,9733;1,0248;-1,761;-1,3127;-0,8333;-0,3333;0,0767;0,4464;0,8107;1,0857;1,2786;1,3786
2021-09-08;0,5985;0,6061;0,4435;0,4011;0,3859;0,4553;0,577;0,814;0,9733;1,0248;-1,761;-1,3127;-0,8333;-0,3333;0,0767;0,4464;0,8107;1,0857;1,2786;1,3786
2021-09-09;0,3784;0,5275;0,3833;0,4011;0,3859;0,4425;0,5715;0,814;0,9733;1,0248;-1,6697;-1,2518;-0,8167;-0,3333;0,0767;0,4393;0,8036;1,0857;1,2786;1,3786
2021-09-10;0,4098;0,535;0,3955;0,4131;0,4371;0,5079;0,6274;0,8442;0,9939;1,0437;-1,6161;-1,1837;-0,74;-0,2412;0,1625;0,53;0,85;1,0933;1,2867;1,4
2021-09-13;0,4284;0,5457;0,4017;0,4272;0,4543;0,5222;0,6441;0,8665;1,0097;1,0675;-1,6084;-1,1872;-0,7421;-0,25;0,16;0,5143;0,8286;1,0643;1,2357;1,3571
2021-09-14;0,4415;0,5457;0,4185;0,4456;0,4631;0,5222;0,6441;0,8665;1,0097;1,0675;-1,6168;-1,1872;-0,7526;-0,2625;0,1533;0,5143;0,8286;1,0643;1,2357;1,3571
2021-09-15;0,4544;0,5447;0,4172;0,444;0,4617;0,5203;0,6416;0,8633;1,0097;1,0675;-1,6043;-1,1913;-0,7579;-0,2688;0,1467;0,5071;0,8214;1,0571;1,2357;1,3571
2021-09-16;0,4591;0,5495;0,4172;0,444;0,4617;0,5203;0,6416;0,8633;1,0097;1,0675;-1,5834;-1,1736;-0,7579;-0,2688;0,1467;0,5071;0,8214;1,0571;1,2357;1,3571
2021-09-17;0,4061;0,4447;0,4717;0,4998;0,5177;0,5376;0,6466;0,8328;0,9716;0,9993;-1,4956;-1,0478;-0,6455;-0,1421;0,2444;0,5219;0,8156;1,0375;1,2188;1,3625
2021-09-20;0,4352;0,4816;0,4794;0,5061;0,5292;0,5375;0,6313;0,8144;0,9494;0,966;-1,5186;-1,0577;-0,6333;-0,1222;0,2588;0,5567;0,87;1,1067;1,3;1,4533
2021-09-21;0,4352;0,4816;0,4794;0,5061;0,5292;0,5375;0,6313;0,8144;0,9494;0,966;-1,5186;-1,0577;-0,6333;-0,1222;0,2588;0,5567;0,87;1,1067;1,3;1,4533
