"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-08-26;0,7077;0,7931;0,6061;0,7403;0,6952;0,744;0,7444;0,7245;0,7186;0,7071;-6,2427;-6,1008;-5,8214;-5,0909;-4,6818;-4,22;-3,87;-3,51;-3,26;-3
2021-08-27;0,7051;0,8027;0,6061;0,7403;0,6952;0,744;0,7444;0,7245;0,7186;0,7071;-6,2269;-6,1119;-5,8214;-5,0909;-4,6818;-4,22;-3,87;-3,51;-3,26;-3
2021-08-30;0,6539;0,7916;0,5693;0,7645;0,7158;0,7659;0,776;0,7569;0,7559;0,7445;-6,0796;-5,9556;-5,7083;-5,05;-4,64;-4,1667;-3,8333;-3,4778;-3,2444;-3,0111
2021-08-31;0,6539;0,7916;0,5693;0,7645;0,7158;0,7659;0,776;0,7569;0,7559;0,7445;-6,0796;-5,9556;-5,7083;-5,05;-4,64;-4,1667;-3,8333;-3,4778;-3,2444;-3,0111
2021-09-01;0,6539;0,7916;0,5693;0,7645;0,7158;0,7659;0,776;0,7569;0,7559;0,7445;-6,0796;-5,9556;-5,7083;-5,05;-4,64;-4,1667;-3,8333;-3,4778;-3,2444;-3,0111
2021-09-02;0,6539;0,7916;0,5693;0,7645;0,7158;0,7659;0,776;0,7569;0,7559;0,7445;-6,0796;-5,9556;-5,7083;-5,05;-4,64;-4,1667;-3,8333;-3,4778;-3,2444;-3,0111
2021-09-03;0,6738;0,834;0,6872;0,7909;0,7373;0,7462;0,7291;0,7012;0,6882;0,7068;-5,9923;-5,9177;-5,5643;-4,9333;-4,525;-4,0636;-3,7455;-3,4091;-3,2091;-3,02
2021-09-06;0,6651;0,8295;0,7121;0,8066;0,7554;0,7622;0,7556;0,7348;0,7144;0,7125;-6,0363;-5,8658;-5,5538;-4,8818;-4,4818;-4,01;-3,71;-3,4;-3,24;-3,0889
2021-09-08;0,6651;0,8295;0,7121;0,8066;0,7554;0,7622;0,7556;0,7348;0,7144;0,7125;-6,0363;-5,8658;-5,5538;-4,8818;-4,4818;-4,01;-3,71;-3,4;-3,24;-3,0889
2021-09-09;0,6641;0,8051;0,7077;0,8114;0,7561;0,7613;0,7547;0,7348;0,7144;0,718;-6,0308;-5,8423;-5,5615;-4,8727;-4,4909;-4,02;-3,72;-3,4;-3,24;-3,1
2021-09-10;0,8067;0,9993;1,0055;1,1514;1,1064;1,1474;1,185;1,2325;1,2329;1,2586;-6,0344;-5,9122;-5,6429;-5,0083;-4,65;-4,2273;-3,9636;-3,6909;-3,5727;-3,53
2021-09-13;0,8518;1,0994;1,0477;1,1518;1,1086;1,1474;1,185;1,2325;1,2329;1,2586;-6,0028;-5,9344;-5,5714;-5;-4,6583;-4,2273;-3,9636;-3,6909;-3,5727;-3,53
