"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-08-26;1,316;1,5392;1,8507;1,8933;1,8495;1,5783;1,8956;2,4062;3,1287;3,9112;60,9819;63,2824;65,3929;66,8909;67,7636;68,7;68,7;67,9889;67,0333;66
2021-08-27;1,2602;1,4863;1,8429;1,8965;1,8539;1,5979;1,9161;2,4111;3,1189;3,8873;60,9512;63,2201;65,3714;66,8636;67,7364;68,6667;68,6556;67,9444;66,9889;65,9444
2021-08-30;1,2256;1,5162;1,896;1,8965;1,8539;1,5979;1,9161;2,4111;3,1189;3,8873;60,8509;63,1652;65,4385;66,8636;67,7364;68,6667;68,6556;67,9444;66,9889;65,9444
2021-08-31;1,2256;1,5162;1,896;1,8965;1,8539;1,5979;1,9161;2,4111;3,1189;3,8873;60,8509;63,1652;65,4385;66,8636;67,7364;68,6667;68,6556;67,9444;66,9889;65,9444
2021-09-01;1,2256;1,5162;1,896;1,8965;1,8539;1,5979;1,9161;2,4111;3,1189;3,8873;60,8509;63,1652;65,4385;66,8636;67,7364;68,6667;68,6556;67,9444;66,9889;65,9444
2021-09-02;1,2256;1,5162;1,896;1,8965;1,8539;1,5979;1,9161;2,4111;3,1189;3,8873;60,8509;63,1652;65,4385;66,8636;67,7364;68,6667;68,6556;67,9444;66,9889;65,9444
2021-09-03;1,9795;2,0738;2,6273;2,6237;2,562;2,6304;2,8252;3,061;3,4454;3,9638;60,6508;62,8637;64,88;66,1308;66,9692;67,6545;67,6273;66,9636;66,1;65,1364
2021-09-06;1,9795;2,0738;2,6273;2,6237;2,562;2,6304;2,8252;3,061;3,4454;3,9638;60,6508;62,8637;64,88;66,1308;66,9692;67,6545;67,6273;66,9636;66,1;65,1364
2021-09-08;1,9795;2,0738;2,6273;2,6237;2,562;2,6304;2,8252;3,061;3,4454;3,9638;60,6508;62,8637;64,88;66,1308;66,9692;67,6545;67,6273;66,9636;66,1;65,1364
2021-09-09;2,0815;2,1398;2,6383;2,6072;2,5483;2,7837;3,1212;3,5123;4,0352;4,6499;60,5608;62,7062;64,6387;65,85;66,7;67,32;67,32;66,6645;65,7982;64,8391
