"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Desvio Padrão 2026";"Desvio Padrão 2027";"Desvio Padrão 2028";"Desvio Padrão 2029";"Desvio Padrão 2030";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025";"Media 2026";"Media 2027";"Media 2028";"Media 2029";"Media 2030"
2021-08-26;1,9676;2,1387;2,2621;2,2459;1,0026;0,7972;1,1933;2,1054;4,8382;5,7012;82,7685;83,5786;84,94;85,0615;83,9429;83,4857;82,6143;81,5143;82,15;80,78
2021-08-27;1,9098;2,0964;2,2753;2,2522;2,5163;3,0074;3,4053;3,9915;4,8405;5,7012;82,7319;83,5844;84,96;85,0769;85,2042;85,021;84,3;83,34;82,16;80,78
2021-08-30;1,6786;2,0478;2,312;2,3389;2,6245;3,1684;3,5888;4,2074;5,1008;6,0016;82,4585;83,3464;84,7385;85,0333;85,1636;84,9889;84,2778;83,3333;82,2;80,8778
2021-08-31;1,6786;2,0478;2,312;2,3389;2,6245;3,1684;3,5888;4,2074;5,1008;6,0016;82,4585;83,3464;84,7385;85,0333;85,1636;84,9889;84,2778;83,3333;82,2;80,8778
2021-09-01;1,6895;2,0478;2,312;2,3389;2,6245;3,1684;3,5888;4,2074;5,1008;6,0016;82,4322;83,3464;84,7385;85,0333;85,1636;84,9889;84,2778;83,3333;82,2;80,8778
2021-09-02;1,6895;2,0478;2,312;2,3389;2,6245;3,1684;3,5888;4,2074;5,1008;6,0016;82,4322;83,3464;84,7385;85,0333;85,1636;84,9889;84,2778;83,3333;82,2;80,8778
2021-09-03;1,4733;1,8809;2,1804;2,483;2,9572;3,6499;4,0682;4,6462;5,321;6,0864;82,3148;83,2657;84,5267;84,9857;85,1308;84,9727;84,2909;83,3182;82,2909;81,0455
2021-09-06;1,4464;1,8383;2,1131;2,483;2,9572;3,6499;4,0682;4,6462;5,321;6,0864;82,346;83,2764;84,55;84,9857;85,1308;84,9727;84,2909;83,3182;82,2909;81,0455
2021-09-08;1,4464;1,8383;2,1131;2,483;2,9572;3,6499;4,0682;4,6462;5,321;6,0864;82,346;83,2764;84,55;84,9857;85,1308;84,9727;84,2909;83,3182;82,2909;81,0455
2021-09-09;1,4537;1,8268;2,096;2,4772;2,9551;3,6499;4,0682;4,6476;5,321;6,0886;82,3551;83,2673;84,5313;84,9714;85,1231;84,9727;84,2909;83,3273;82,2909;81,0545
