"Data";"Desvio Padrão 2021";"Desvio Padrão 2022";"Desvio Padrão 2023";"Desvio Padrão 2024";"Desvio Padrão 2025";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2021-08-27;0,1704;0,2495;0,2953;0,3689;0,4425;5,1339;5,1811;5,0519;5,0156;5,0171
2021-08-30;0,1695;0,251;0,2909;0,3668;0,442;5,1366;5,1849;5,0569;5,0178;5,0179
2021-08-31;0,169;0,2492;0,2893;0,3651;0,4405;5,1364;5,1871;5,0588;5,0212;5,0228
2021-09-01;0,1682;0,249;0,2945;0,3678;0,4418;5,1361;5,1882;5,0513;5,0137;5,0152
2021-09-02;0,1576;0,2433;0,2936;0,3658;0,4286;5,1467;5,1979;5,0575;5,0241;5,0346
2021-09-03;0,158;0,2386;0,2919;0,3668;0,4407;5,141;5,1952;5,0546;5,0201;5,0272
2021-09-06;0,1559;0,2356;0,2844;0,3571;0,4315;5,1441;5,1968;5,0511;5,0215;5,0286
2021-09-08;0,1559;0,2356;0,2844;0,3571;0,4315;5,1441;5,1968;5,0511;5,0215;5,0286
2021-09-09;0,1561;0,236;0,2857;0,3585;0,4329;5,1469;5,1977;5,0523;5,0228;5,0299
2021-09-10;0,1462;0,232;0,2867;0,3605;0,435;5,1577;5,2082;5,0536;5,0217;5,0268
2021-09-13;0,1453;0,2345;0,278;0,3381;0,432;5,1612;5,2172;5,0615;5,0295;5,0246
2021-09-14;0,1392;0,2345;0,278;0,3381;0,432;5,1641;5,2172;5,0615;5,0295;5,0246
2021-09-15;0,138;0,2359;0,2848;0,3461;0,4388;5,1638;5,2226;5,0696;5,0396;5,0359
2021-09-16;0,138;0,2325;0,2844;0,3462;0,439;5,1636;5,2262;5,0676;5,0404;5,0366
2021-09-17;0,1169;0,2299;0,2917;0,3432;0,4341;5,1843;5,2401;5,085;5,0573;5,0552
2021-09-20;0,116;0,2305;0,2895;0,3397;0,43;5,1869;5,2373;5,0798;5,0505;5,0469
2021-09-21;0,116;0,2305;0,2895;0,3397;0,43;5,1869;5,2373;5,0798;5,0505;5,0469
2021-09-22;0,1161;0,2313;0,2885;0,3389;0,4299;5,1871;5,2383;5,0773;5,0452;5,0402
2021-09-23;0,1159;0,2298;0,2877;0,3378;0,4285;5,1889;5,2403;5,0792;5,0472;5,0422
2021-09-24;0,1183;0,2302;0,2877;0,3378;0,4285;5,1915;5,2411;5,0792;5,0472;5,0422
2021-09-27;0,1174;0,2304;0,2876;0,3378;0,4286;5,1933;5,2415;5,0802;5,0484;5,0421
2021-09-28;0,1172;0,2304;0,2876;0,3378;0,4286;5,1942;5,2415;5,0802;5,0484;5,0421
2021-09-29;0,1174;0,2307;0,2876;0,3378;0,4286;5,1945;5,2421;5,0802;5,0484;5,0421
2021-09-30;0,1198;0,2316;0,2876;0,3378;0,4286;5,1963;5,243;5,0802;5,0484;5,0421
2021-10-01;0,1176;0,2325;0,2888;0,3391;0,4298;5,2045;5,2505;5,0828;5,0505;5,0442
2021-10-04;0,1203;0,2353;0,2887;0,3319;0,4109;5,207;5,253;5,0783;5,0503;5,0493
2021-10-05;0,1202;0,2353;0,2887;0,3319;0,4109;5,2079;5,253;5,0783;5,0503;5,0493
2021-10-06;0,1211;0,2378;0,2894;0,3324;0,4112;5,2179;5,2622;5,0791;5,0512;5,0501
2021-10-07;0,1236;0,2438;0,2937;0,3362;0,4143;5,2193;5,257;5,0801;5,0505;5,048
2021-10-08;0,1314;0,2545;0,3014;0,3362;0,4143;5,2306;5,2662;5,0828;5,0505;5,048
2021-10-11;0,1394;0,2567;0,3004;0,3339;0,4114;5,2409;5,2706;5,0856;5,0498;5,0473
2021-10-13;0,1394;0,2567;0,3004;0,3339;0,4114;5,2409;5,2706;5,0856;5,0498;5,0473
2021-10-14;0,1422;0,2571;0,3018;0,3354;0,4136;5,2423;5,2676;5,0834;5,047;5,0445
2021-10-15;0,1387;0,2558;0,3024;0,3362;0,4143;5,2521;5,269;5,0854;5,0491;5,0466
