"Data";"Media 2021";"Media 2022";"Media 2023";"Media 2024";"Media 2025"
2021-08-26;53,8756;65,6871;73,6613;74,06;76,2017
2021-08-27;54,0476;65,8538;73,6613;74,06;76,2017
2021-08-30;53,9648;65,6132;73,1129;73,9745;75,8564
2021-08-31;53,7996;65,3691;72,9053;74,4767;76,2017
2021-09-01;53,7996;65,3691;72,9053;74,4767;76,2017
2021-09-02;53,7996;65,3691;72,9053;74,4767;76,2017
2021-09-03;53,7188;65,0796;72,4425;73,9246;75,7246
2021-09-06;53,4676;64,9788;72,4425;73,9246;75,7246
2021-09-08;53,4676;64,9788;72,4425;73,9246;75,7246
2021-09-09;53,4676;64,9788;72,4425;73,9246;75,7246
2021-09-10;53,0288;64,9778;72,6053;73,835;75,785
2021-09-13;52,8204;64,7604;72,5387;73,6683;75,6183
2021-09-14;51,8454;64,5126;72,0587;73,0683;75,035
2021-09-15;51,8454;64,5126;72,0587;73,0683;75,035
2021-09-16;51,8454;64,4905;72,0587;73,0683;75,035
2021-09-17;51,8958;64,8246;71,68;72,8246;74,8708
2021-09-20;51,5716;64,5996;71,68;72,8246;74,8708
2021-09-21;51,5716;64,5996;71,68;72,8246;74,8708
2021-09-22;51,5716;64,5996;71,68;72,8246;74,8708
2021-09-23;51,5137;64,5995;71,68;72,8246;74,8708
2021-09-24;51,3709;64,0745;71,5224;72,8246;74,8708
2021-09-27;51,5057;64,2517;70,9341;72,8246;74,8708
2021-09-28;51,5057;64,2517;70,9341;72,8246;74,8708
2021-09-29;51,0657;64,2517;70,9341;72,8246;74,8708
2021-09-30;51,5268;63,9904;70,9925;73,06;75,2767
2021-10-01;51,7393;63,9904;70,68;72,2267;74,86
2021-10-04;52,0323;63,9423;70,68;72,2267;74,86
2021-10-05;52,0323;63,9423;70,68;72,2267;74,86
2021-10-06;52,0323;63,4661;70,055;72,2267;74,86
2021-10-07;52,0323;63,3233;70,055;72,2267;74,86
2021-10-08;52,0323;63,3233;70,055;72,2267;74,86
2021-10-11;51,8149;62,9449;70,055;72,2267;74,86
2021-10-13;51,8143;62,3908;70,64;72,2267;74,86
2021-10-14;51,8931;62,4995;70,1175;71,4291;74,0291
2021-10-15;51,7017;62,3329;70,4933;72,1323;74,8708
