"data";"T5YIEM";"T7YIEM";"T10YIEM";"T20YIEM";"T30YIEM"
2003-01-01;1,4;1,5;1,76;NA;NA
2003-02-01;1,66;1,71;1,91;NA;NA
2003-03-01;1,69;1,74;1,87;NA;NA
2003-04-01;1,57;1,62;1,78;NA;NA
2003-05-01;1,34;1,46;1,66;NA;NA
2003-06-01;1,36;1,47;1,61;NA;NA
2003-07-01;1,57;1,69;1,87;NA;NA
2003-08-01;1,89;1,99;2,13;NA;NA
2003-09-01;1,89;1,94;2,08;NA;NA
2003-10-01;1,98;2,07;2,21;NA;NA
2003-11-01;2,02;2,17;2,34;NA;NA
2003-12-01;2,04;2,15;2,29;NA;NA
2004-01-01;2,03;2,17;2,26;NA;NA
2004-02-01;2,21;2,28;2,32;NA;NA
2004-03-01;2,27;2,33;2,36;NA;NA
2004-04-01;2,37;2,4;2,45;NA;NA
2004-05-01;2,51;2,54;2,63;NA;NA
2004-06-01;2,52;2,55;2,58;NA;NA
2004-07-01;2,4;2,43;2,48;2,8;NA
2004-08-01;2,35;2,39;2,42;2,84;NA
2004-09-01;2,26;2,29;2,33;2,73;NA
2004-10-01;2,38;2,4;2,37;2,72;NA
2004-11-01;2,63;2,61;2,51;2,8;NA
2004-12-01;2,68;2,65;2,56;2,86;NA
2005-01-01;2,58;2,57;2,5;2,79;NA
2005-02-01;2,69;2,64;2,54;2,76;NA
2005-03-01;2,88;2,84;2,71;2,94;NA
2005-04-01;2,77;2,74;2,63;2,88;NA
2005-05-01;2,57;2,53;2,49;2,74;NA
2005-06-01;2,38;2,37;2,33;2,55;NA
2005-07-01;2,31;2,31;2,3;2,48;NA
2005-08-01;2,41;2,39;2,37;2,51;NA
2005-09-01;2,61;2,52;2,5;2,58;NA
2005-10-01;2,63;2,56;2,52;2,65;NA
2005-11-01;2,48;2,45;2,48;2,67;NA
2005-12-01;2,3;2,31;2,35;2,59;NA
2006-01-01;2,42;2,39;2,41;2,6;NA
2006-02-01;2,59;2,54;2,52;2,72;NA
2006-03-01;2,63;2,56;2,52;2,74;NA
2006-04-01;2,64;2,6;2,58;2,79;NA
2006-05-01;2,7;2,67;2,66;2,87;NA
2006-06-01;2,62;2,6;2,58;2,75;NA
2006-07-01;2,58;2,57;2,58;2,73;NA
2006-08-01;2,55;2,54;2,59;2,77;NA
2006-09-01;2,29;2,33;2,4;2,62;NA
2006-10-01;2,18;2,24;2,32;2,56;NA
2006-11-01;2,17;2,23;2,31;2,55;NA
2006-12-01;2,25;2,26;2,31;2,52;NA
2007-01-01;2,28;2,28;2,32;2,53;NA
2007-02-01;2,37;2,33;2,36;2,55;NA
2007-03-01;2,44;2,36;2,38;2,54;NA
2007-04-01;2,47;2,42;2,43;2,6;NA
2007-05-01;2,38;2,37;2,38;2,53;NA
2007-06-01;2,38;2,38;2,41;2,62;NA
2007-07-01;2,28;2,3;2,36;2,57;NA
2007-08-01;2,04;2,08;2,23;2,53;NA
2007-09-01;2,06;2,09;2,26;2,54;NA
2007-10-01;2,19;2,18;2,33;2,57;NA
2007-11-01;2,32;2,22;2,38;2,57;NA
2007-12-01;2,22;2,12;2,31;2,49;NA
2008-01-01;2,12;2,07;2,27;2,54;NA
2008-02-01;2,13;2,12;2,33;2,62;NA
2008-03-01;2,25;2,2;2,42;2,6;NA
2008-04-01;2,22;2,19;2,32;2,53;NA
2008-05-01;2,36;2,3;2,42;2,6;NA
2008-06-01;2,52;2,38;2,47;2,55;NA
2008-07-01;2,46;2,36;2,44;2,53;NA
2008-08-01;1,99;1,99;2,21;2,38;NA
2008-09-01;1,33;1,54;1,84;2,07;NA
2008-10-01;-0,02;0,23;1,06;1,58;NA
2008-11-01;-1,4;-1,02;0,64;1,27;NA
2008-12-01;-0,24;-0,07;0,25;0,86;NA
2009-01-01;0,01;0,26;0,61;1;NA
2009-02-01;0,58;0,82;1,12;1,52;NA
2009-03-01;0,59;0,99;1,11;1,52;NA
2009-04-01;0,75;1,18;1,36;1,62;NA
2009-05-01;1,06;1,47;1,57;1,86;NA
2009-06-01;1,53;1,89;1,86;2,15;NA
2009-07-01;1,28;1,7;1,74;2,07;NA
2009-08-01;1,28;1,72;1,82;2,11;NA
2009-09-01;1,34;1,73;1,76;2,01;NA
2009-10-01;1,5;1,84;1,91;2,12;NA
2009-11-01;1,75;2,08;2,12;2,34;NA
2009-12-01;1,91;2,21;2,23;2,41;NA
2010-01-01;2,06;2,36;2,36;2,5;NA
2010-02-01;1,94;2,22;2,27;2,45;2,46
2010-03-01;1,87;2,08;2,22;2,51;2,49
2010-04-01;1,96;2,18;2,35;2,63;2,64
2010-05-01;1,77;2;2,11;2,39;2,46
2010-06-01;1,66;1,9;1,94;2,26;2,36
2010-07-01;1,42;1,7;1,77;2;2,12
2010-08-01;1,34;1,59;1,68;1,87;2,04
2010-09-01;1,28;1,59;1,74;1,89;2,11
2010-10-01;1,5;1,83;2,01;2,2;2,43
2010-11-01;1,56;1,85;2,09;2,38;2,58
2010-12-01;1,72;2,01;2,25;2,5;2,53
2011-01-01;1,93;2,1;2,33;2,58;2,55
2011-02-01;2,01;2,12;2,34;2,57;2,52
2011-03-01;2,2;2,26;2,45;2,69;2,62
2011-04-01;2,31;2,35;2,6;2,8;2,71
2011-05-01;2,18;2,22;2,39;2,54;2,52
2011-06-01;1,96;2,08;2,24;2,38;2,45
